Sensed Time: 2024-01-22 10:34:56, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:34:57, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:34:58, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:34:59, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:00, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:01, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:02, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:03, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:04, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:05, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:06, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:07, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:08, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:09, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:10, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:11, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:12, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:13, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:14, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:15, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:16, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:17, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:18, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:19, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:20, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:21, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:22, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:23, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:24, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:25, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:26, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:27, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:28, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:29, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:30, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:31, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:32, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:33, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:34, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:35, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:36, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:37, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:38, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:39, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:40, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:41, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:42, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:43, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:44, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:45, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:46, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:47, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:48, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:49, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:50, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:51, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:52, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:53, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:54, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:55, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:56, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:57, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:58, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:35:59, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:36:00, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:36:01, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:36:02, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:36:03, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:36:04, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:36:05, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:36:06, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:36:07, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:36:08, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:36:09, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:36:10, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:36:11, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:36:12, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:36:13, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:36:14, Humidity: 42.00, Temperature: 20.00
