Sensed Time: 2024-01-22 10:42:03, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:04, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:05, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:06, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:07, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:08, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:09, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:10, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:11, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:12, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:13, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:14, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:15, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:16, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:17, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:18, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:19, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:20, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:21, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:22, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:23, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:24, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:25, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:26, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:27, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:28, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:29, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:30, Humidity: 41.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:31, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:32, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:33, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:34, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:35, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:42:36, Humidity: 42.00, Temperature: 19.00
Sensed Time: 2024-01-22 10:42:37, Humidity: 41.00, Temperature: 19.00
Sensed Time: 2024-01-22 10:42:38, Humidity: 41.00, Temperature: 19.00
Sensed Time: 2024-01-22 10:42:39, Humidity: 41.00, Temperature: 19.00
Sensed Time: 2024-01-22 10:42:40, Humidity: 41.00, Temperature: 19.00
