Sensed Time: 2024-01-22 10:24:45, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:24:46, Humidity: 42.00, Temperature: 19.00
Sensed Time: 2024-01-22 10:24:47, Humidity: 42.00, Temperature: 19.00
Sensed Time: 2024-01-22 10:24:48, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:24:49, Humidity: 42.00, Temperature: 19.00
Sensed Time: 2024-01-22 10:24:50, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:24:51, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:24:52, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:24:53, Humidity: 42.00, Temperature: 19.00
Sensed Time: 2024-01-22 10:24:54, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:24:55, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:24:56, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:24:57, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:24:58, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:24:59, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:00, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:01, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:02, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:03, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:04, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:05, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:06, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:07, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:08, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:09, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:10, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:11, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:12, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:13, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:14, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:15, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:16, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:17, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:18, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:19, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:20, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:21, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:22, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:23, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:24, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:25, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:26, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:27, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:28, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:29, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:30, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:31, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:32, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:33, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:34, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:35, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:36, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:37, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:38, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:39, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:40, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:41, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:42, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:43, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:44, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:45, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:46, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:47, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:48, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:49, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:50, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:51, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:52, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:53, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:54, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:55, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:56, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:57, Humidity: 42.00, Temperature: 20.00
Sensed Time: 2024-01-22 10:25:58, Humidity: 41.00, Temperature: 20.00
